,lat,Max Temp,Wind Speed,Humidity,Cloudiness
0,22.68,117.13,13.62,4,0
1,14.68,77.35,7.18,60,96
2,-54.81,32.0,11.41,92,75
3,-46.43,34.15,10.22,45,100
4,11.0,76.63,5.19,82,100
5,64.25,55.4,6.93,87,90
6,72.79,33.25,6.69,84,92
7,-33.59,64.99,1.45,74,0
8,-19.55,75.55,9.24,83,100
9,22.89,86.0,4.81,33,5
10,42.77,75.0,6.93,77,75
11,20.87,81.13,8.37,73,71
12,-2.02,80.23,7.49,82,99
13,52.04,66.2,17.9,77,40
14,-35.12,64.0,5.01,62,0
15,47.66,63.0,4.7,62,40
16,-42.78,57.0,10.29,66,0
17,71.98,59.71,11.16,33,100
18,-33.93,60.01,20.8,77,20
19,-21.21,71.6,4.7,78,97
20,33.08,71.6,14.99,64,40
21,-34.42,64.99,18.01,35,0
22,-22.93,80.6,11.41,83,40
23,-33.64,46.99,25.08,98,67
24,69.49,46.4,6.71,87,75
25,-34.53,73.4,4.7,27,33
26,64.17,50.0,4.7,87,75
27,39.45,93.2,12.75,31,20
28,-5.15,61.51,0.98,92,94
29,35.77,44.23,2.44,95,94
30,77.48,38.65,2.01,54,100
31,50.1,64.4,6.93,68,75
32,65.73,57.91,16.67,46,92
33,42.65,78.01,8.05,83,1
34,8.96,63.85,7.74,75,61
35,-23.58,59.53,19.48,80,0
36,22.08,78.8,11.41,88,75
37,71.64,49.81,11.7,75,100
38,41.14,86.0,5.82,64,1
39,37.72,68.0,10.29,56,20
40,14.9,75.01,26.22,82,0
41,37.17,82.75,21.23,53,0
42,61.22,59.0,1.83,82,1
43,-0.74,71.6,17.22,88,90
44,51.24,82.99,13.87,26,0
45,62.45,48.2,11.41,61,20
46,60.79,57.2,5.82,100,75
47,4.94,80.05,6.35,91,79
48,33.93,73.99,13.87,100,75
49,7.53,79.87,9.48,77,100
50,-46.19,44.01,1.01,92,83
51,7.38,84.19,7.27,71,63
52,-30.97,62.95,24.25,14,0
53,25.1,73.39,2.21,94,100
54,-3.25,89.6,3.4,88,75
55,-9.8,80.23,19.1,77,21
56,3.07,83.11,12.01,76,37
57,69.22,42.8,10.29,70,75
58,-23.12,73.93,15.39,84,100
59,-53.16,26.6,11.41,79,20
60,6.8,78.8,10.29,88,75
61,45.36,75.99,10.29,73,1
62,63.59,50.0,5.82,46,5
63,31.31,89.01,1.01,43,0
64,-38.31,48.37,24.02,51,100
65,-19.9,66.91,1.79,97,0
66,2.43,77.71,2.53,88,100
67,-8.93,66.01,5.97,77,3
68,-7.35,65.47,3.31,97,56
69,15.34,73.4,13.87,88,75
70,34.88,87.01,3.53,62,75
71,-30.17,61.51,10.58,64,0
72,-9.33,74.47,9.19,32,0
73,-10.91,82.4,12.75,65,75
74,27.87,116.6,6.8,4,0
75,59.7,64.0,4.47,67,90
76,-11.78,80.23,3.4,20,0
77,12.92,68.0,18.34,88,40
78,21.77,95.0,8.05,44,75
79,-33.21,56.83,12.53,65,0
80,2.04,84.2,17.22,62,40
81,38.18,91.99,13.87,36,0
82,65.28,50.0,5.82,61,75
83,-8.77,64.57,3.69,93,27
84,0.39,84.2,8.05,62,20
85,54.32,53.6,3.36,93,90
86,2.77,76.63,1.25,94,100
87,28.04,77.0,9.17,83,40
88,46.42,102.2,4.7,33,0
89,50.71,78.01,24.16,72,0
90,-31.54,57.91,9.22,17,0
91,-0.8,73.4,8.05,83,75
92,-20.41,75.2,11.41,73,40
93,45.6,99.0,5.99,48,32
94,69.38,33.07,5.06,98,100
95,9.58,78.61,1.43,78,92
96,-45.58,33.8,1.3,92,0
97,-6.92,82.4,6.93,58,20
98,-16.7,79.51,7.7,73,22
99,49.71,69.97,18.3,72,22
100,64.42,46.39,2.28,97,100
101,12.18,92.65,2.1,36,0
102,33.37,70.33,2.42,96,100
103,-28.55,55.03,13.96,84,0
104,27.97,63.67,9.75,85,4
105,73.51,34.33,8.43,97,100
106,-0.03,87.8,9.17,84,75
107,-33.86,51.8,17.22,81,75
108,30.04,82.99,4.12,88,1
109,68.75,47.83,12.12,52,100
110,-1.2,85.27,8.55,70,57
111,39.62,84.99,6.93,65,1
112,50.52,62.77,11.79,68,100
113,50.72,48.91,3.53,77,67
114,42.57,100.0,14.99,13,0
115,-19.93,75.73,11.88,60,94
116,7.99,82.93,13.11,78,100
117,33.08,66.37,2.39,89,100
118,63.29,63.85,2.55,69,64
119,54.83,68.0,19.46,72,0
120,13.83,98.23,5.19,24,0
121,55.74,57.2,5.82,82,40
122,-28.95,59.0,5.3,93,75
123,29.56,78.8,12.75,61,1
124,-42.88,57.0,10.29,66,0
125,6.12,84.2,14.99,83,20
126,37.33,107.6,12.75,11,0
127,55.28,53.6,2.24,93,90
128,4.42,80.77,7.78,74,47
129,33.69,54.31,8.14,89,100
130,-29.67,67.63,17.36,17,0
131,-22.97,78.8,11.41,83,40
132,18.35,83.29,5.26,71,55
133,43.63,95.0,8.05,52,0
134,43.52,59.0,6.93,62,1
135,-0.6,83.83,6.4,71,100
136,70.62,46.03,11.07,55,0
137,34.81,86.0,13.87,70,0
138,39.05,80.01,8.05,88,1
139,46.12,69.01,1.01,100,90
140,21.6,94.63,9.73,44,100
141,-34.0,60.43,3.09,33,0
142,-34.48,51.43,8.9,60,0
143,-33.69,52.33,9.26,62,0
144,60.91,50.0,6.93,76,75
145,9.35,65.11,8.25,83,41
146,-42.48,39.2,13.87,93,90
147,-32.03,50.0,4.7,66,0
148,69.7,34.51,24.32,82,100
149,-19.06,71.6,6.93,88,4
150,-14.8,78.43,6.69,21,0
151,65.61,53.05,8.52,56,2
152,-16.48,79.51,3.44,72,6
153,70.98,46.4,19.46,75,75
154,-38.55,50.0,17.0,59,100
155,-12.18,73.4,11.41,83,40
156,63.93,61.0,13.0,55,0
157,62.59,65.11,5.82,41,82
158,17.01,86.0,13.87,79,40
159,14.2,93.55,6.76,16,89
160,19.71,73.4,4.7,88,90
161,20.89,71.6,5.82,78,1
162,4.42,84.2,4.7,79,75
163,52.42,49.09,3.83,78,36
164,5.28,78.8,3.36,94,75
165,15.86,78.8,8.05,88,75
166,35.21,79.0,9.17,88,90
167,-36.72,50.0,1.12,100,90
168,-16.8,69.07,8.03,68,1
169,22.38,84.2,5.82,74,20
170,-46.13,44.01,1.01,92,100
171,39.95,81.0,11.41,57,1
172,0.12,74.47,3.24,98,7
173,40.71,62.6,6.71,93,20
174,16.86,82.4,2.95,83,75
175,34.68,77.0,2.24,94,75
176,18.22,89.6,14.99,7,75
177,-45.41,43.51,6.4,80,83
178,46.57,102.2,4.7,33,0
179,52.8,66.01,17.54,80,37
180,28.66,77.0,8.05,65,75
181,-4.23,80.77,1.9,37,97
182,-9.67,77.0,14.99,73,75
183,34.64,57.2,3.36,87,90
184,12.35,89.95,12.19,42,99
185,65.61,44.6,3.36,81,90
186,-34.85,64.4,19.46,45,0
187,46.45,50.35,3.2,98,100
188,63.46,63.13,5.75,39,100
189,27.18,111.2,11.41,13,0
190,61.99,39.55,4.99,93,97
191,35.54,53.23,4.03,89,100
192,-43.3,47.47,9.31,51,0
193,57.13,51.97,5.08,88,100
194,10.47,75.99,4.7,83,40
195,-15.75,75.73,6.2,27,0
196,50.68,40.27,10.2,95,100
197,34.92,86.0,13.87,70,0
198,60.1,45.67,7.92,71,0
199,39.42,93.2,12.75,31,20
200,78.22,39.2,5.82,86,75
201,34.57,56.29,7.0,84,100
202,38.52,69.8,17.22,56,20
203,-2.57,84.55,14.38,74,100
204,58.81,48.2,4.7,87,90
205,14.04,84.2,9.17,83,75
206,-21.64,80.6,9.17,57,0
207,-21.16,74.47,4.68,73,65
208,45.22,91.4,4.7,36,0
209,71.97,55.57,4.05,41,100
210,-9.01,78.43,11.18,78,80
211,44.39,62.01,3.36,100,90
212,41.28,80.6,6.93,51,40
213,54.08,72.0,9.17,72,20
214,38.23,67.09,5.79,50,63
215,44.37,66.2,6.93,82,1
216,69.44,37.4,3.36,86,90
217,61.68,66.55,2.37,59,100
218,60.4,53.6,11.41,93,75
219,27.27,111.2,11.41,13,0
220,-20.63,76.27,6.17,44,29
221,10.41,87.61,10.96,54,40
222,21.28,87.79,6.91,57,8
223,14.75,64.4,18.34,88,20
224,67.67,50.0,24.16,81,40
225,13.22,84.2,24.16,66,20
226,8.07,82.75,3.56,66,11
227,37.46,59.0,4.7,82,90
228,-3.75,42.8,3.36,319,75
229,-33.42,45.0,3.31,82,0
230,-14.4,87.79,9.24,37,0
231,53.17,66.2,2.24,55,75
232,39.31,86.0,6.93,65,1
233,14.4,95.71,20.15,10,63
234,61.94,50.17,13.11,79,100
235,66.42,73.4,6.71,53,40
236,38.9,78.01,21.92,73,1
237,24.79,72.85,0.36,95,72
238,3.78,83.65,9.1,75,33
239,63.05,43.15,3.87,89,33
240,-23.31,73.03,16.78,15,0
241,-28.77,72.13,28.5,73,0
242,-20.34,75.2,11.41,73,40
243,44.25,59.0,11.41,58,1
244,43.74,75.99,3.0,59,0
245,13.69,103.63,7.94,26,77
246,6.09,68.35,3.27,91,90
247,36.53,100.4,12.75,35,0
248,62.53,48.37,1.99,71,98
249,35.36,82.0,3.44,73,1
250,-29.95,48.2,3.36,81,0
251,43.56,97.0,5.82,52,0
252,62.6,57.99,6.93,93,75
253,52.47,68.0,10.29,77,75
254,64.73,46.4,11.18,87,75
255,36.39,87.8,8.05,66,0
256,62.58,57.2,12.75,81,75
